26805.148,1960.992	26800.734,1960.709
31805.148,1960.992	31803.071,1961.481
36805.148,1960.992	36802.484,1961.939
41805.148,1960.992	41800.140,1962.063
46805.148,1960.992	46798.297,1963.330
51805.148,1960.992	51796.803,1965.262
56805.148,1960.992	56796.368,1966.779
61805.148,1960.992	61795.523,1968.033
66805.148,1960.992	66794.818,1968.156
71805.148,1960.992	71793.907,1968.012
76805.148,1960.992	76793.393,1967.738
81805.148,1960.992	81792.561,1967.980
86805.148,1960.992	86792.486,1968.762
91805.148,1960.992	91792.584,1969.680
96805.148,1960.992	96792.406,1970.899
101805.148,1960.992	101791.911,1972.051
106805.148,1960.992	106792.380,1973.681
111805.148,1960.992	111792.240,1976.015
116805.148,1960.992	116793.367,1977.886
121805.148,1960.992	121793.818,1979.456
126805.148,1960.992	126794.772,1980.335
131805.148,1960.992	131793.846,1980.609
136805.148,1960.992	136795.134,1981.347
141805.148,1960.992	141794.751,1982.490
146805.148,1960.992	146796.533,1983.522
151805.148,1960.992	151795.286,1984.549
156805.148,1960.992	156796.538,1985.229
161805.148,1960.992	161793.613,1985.777
166805.148,1960.992	166795.354,1987.140
171805.148,1960.992	171794.277,1989.548
26805.148,6960.992	26798.790,6963.301
31805.148,6960.992	31801.287,6963.777
36805.148,6960.992	36801.305,6964.037
41805.148,6960.992	41798.762,6964.293
46805.148,6960.992	46796.983,6965.346
51805.148,6960.992	51795.831,6967.054
56805.148,6960.992	56794.952,6968.445
61805.148,6960.992	61794.456,6969.837
66805.148,6960.992	66793.631,6970.251
71805.148,6960.992	71792.499,6969.764
76805.148,6960.992	76792.049,6969.643
81805.148,6960.992	81791.503,6969.568
86805.148,6960.992	86791.554,6970.469
91805.148,6960.992	91791.024,6971.957
96805.148,6960.992	96791.422,6973.190
101805.148,6960.992	101790.198,6974.550
106805.148,6960.992	106791.814,6976.302
111805.148,6960.992	111791.218,6978.527
116805.148,6960.992	116793.657,6980.007
121805.148,6960.992	121792.551,6981.199
126805.148,6960.992	126793.438,6981.968
131805.148,6960.992	131792.792,6982.542
136805.148,6960.992	136794.175,6983.176
141805.148,6960.992	141793.414,6984.453
146805.148,6960.992	146795.237,6985.492
151805.148,6960.992	151794.166,6987.107
156805.148,6960.992	156794.854,6987.263
161805.148,6960.992	161793.063,6988.349
166805.148,6960.992	166793.584,6989.879
171805.148,6960.992	171792.179,6992.049
26805.148,11960.992	26797.514,11960.031
31805.148,11960.992	31799.588,11960.708
36805.148,11960.992	36798.975,11960.610
41805.148,11960.992	41796.909,11961.334
46805.148,11960.992	46795.868,11962.999
51805.148,11960.992	51794.286,11964.807
56805.148,11960.992	56793.710,11966.506
61805.148,11960.992	61793.293,11967.753
66805.148,11960.992	66792.320,11968.044
71805.148,11960.992	71791.221,11967.924
76805.148,11960.992	76790.982,11967.507
81805.148,11960.992	81789.352,11967.771
86805.148,11960.992	86789.794,11968.422
91805.148,11960.992	91789.755,11969.284
96805.148,11960.992	96790.052,11970.557
101805.148,11960.992	101789.305,11971.428
106805.148,11960.992	106789.645,11973.458
111805.148,11960.992	111789.742,11975.410
116805.148,11960.992	116790.955,11977.763
121805.148,11960.992	121791.152,11979.319
126805.148,11960.992	126792.098,11979.949
131805.148,11960.992	131791.322,11980.825
136805.148,11960.992	136792.122,11981.541
141805.148,11960.992	141792.451,11982.386
146805.148,11960.992	146793.430,11983.460
151805.148,11960.992	151792.489,11984.374
156805.148,11960.992	156793.104,11984.937
161805.148,11960.992	161791.034,11985.756
166805.148,11960.992	166792.642,11986.821
171805.148,11960.992	171791.373,11989.254
26805.148,16960.992	26796.607,16963.777
31805.148,16960.992	31798.680,16964.062
36805.148,16960.992	36797.852,16964.223
41805.148,16960.992	41795.921,16964.620
46805.148,16960.992	46794.901,16965.663
51805.148,16960.992	51793.379,16967.400
56805.148,16960.992	56792.576,16969.215
61805.148,16960.992	61791.951,16970.914
66805.148,16960.992	66791.147,16971.353
71805.148,16960.992	71790.128,16970.703
76805.148,16960.992	76789.911,16970.186
81805.148,16960.992	81788.364,16970.496
86805.148,16960.992	86788.856,16971.633
91805.148,16960.992	91788.368,16972.820
96805.148,16960.992	96788.814,16974.205
101805.148,16960.992	101788.207,16975.377
106805.148,16960.992	106788.794,16977.431
111805.148,16960.992	111788.096,16979.150
116805.148,16960.992	116789.376,16980.867
121805.148,16960.992	121790.313,16982.197
126805.148,16960.992	126791.264,16983.105
131805.148,16960.992	131790.331,16983.682
136805.148,16960.992	136791.562,16984.804
141805.148,16960.992	141790.939,16985.941
146805.148,16960.992	146791.817,16987.201
151805.148,16960.992	151791.201,16988.721
156805.148,16960.992	156791.468,16989.616
161805.148,16960.992	161789.666,16990.315
166805.148,16960.992	166790.821,16991.880
171805.148,16960.992	171789.643,16993.462
26805.148,21960.992	26794.466,21962.044
31805.148,21960.992	31796.953,21963.050
36805.148,21960.992	36796.343,21963.035
41805.148,21960.992	41794.423,21963.608
46805.148,21960.992	46793.165,21964.819
51805.148,21960.992	51791.976,21966.652
56805.148,21960.992	56791.313,21968.113
61805.148,21960.992	61790.633,21969.391
66805.148,21960.992	66789.662,21969.782
71805.148,21960.992	71788.535,21969.291
76805.148,21960.992	76788.297,21968.654
81805.148,21960.992	81787.345,21969.272
86805.148,21960.992	86787.510,21970.010
91805.148,21960.992	91787.112,21971.516
96805.148,21960.992	96786.832,21972.628
101805.148,21960.992	101786.261,21973.800
106805.148,21960.992	106787.220,21975.959
111805.148,21960.992	111786.693,21977.941
116805.148,21960.992	116787.849,21979.703
121805.148,21960.992	121788.410,21981.219
126805.148,21960.992	126789.916,21981.997
131805.148,21960.992	131788.823,21982.228
136805.148,21960.992	136790.106,21983.420
141805.148,21960.992	141789.531,21984.696
146805.148,21960.992	146790.198,21985.594
151805.148,21960.992	151790.000,21986.859
156805.148,21960.992	156790.752,21987.801
161805.148,21960.992	161788.583,21988.163
166805.148,21960.992	166789.530,21989.473
171805.148,21960.992	171788.143,21992.039
26805.148,26960.992	26793.342,26964.446
31805.148,26960.992	31795.592,26965.160
36805.148,26960.992	36794.872,26965.365
41805.148,26960.992	41792.818,26965.794
46805.148,26960.992	46791.614,26966.892
51805.148,26960.992	51790.214,26968.494
56805.148,26960.992	56789.998,26970.339
61805.148,26960.992	61789.609,26971.941
66805.148,26960.992	66788.089,26972.290
71805.148,26960.992	71787.268,26971.644
76805.148,26960.992	76786.705,26971.188
81805.148,26960.992	81785.160,26971.625
86805.148,26960.992	86785.621,26972.772
91805.148,26960.992	91785.144,26974.164
96805.148,26960.992	96785.117,26975.271
101805.148,26960.992	101784.513,26976.553
106805.148,26960.992	106785.608,26978.265
111805.148,26960.992	111784.957,26980.089
116805.148,26960.992	116786.399,26981.513
121805.148,26960.992	121787.156,26982.700
126805.148,26960.992	126787.862,26983.571
131805.148,26960.992	131787.361,26984.164
136805.148,26960.992	136788.939,26985.537
141805.148,26960.992	141788.003,26986.898
146805.148,26960.992	146789.711,26988.262
151805.148,26960.992	151788.386,26989.529
156805.148,26960.992	156789.294,26990.928
161805.148,26960.992	161787.673,26991.617
166805.148,26960.992	166787.976,26992.749
171805.148,26960.992	171786.902,26994.357
26805.148,31960.992	26792.134,31962.280
31805.148,31960.992	31793.741,31963.191
36805.148,31960.992	36793.037,31963.331
41805.148,31960.992	41791.551,31963.586
46805.148,31960.992	46790.410,31964.912
51805.148,31960.992	51789.112,31966.498
56805.148,31960.992	56788.769,31968.098
61805.148,31960.992	61787.837,31969.359
66805.148,31960.992	66787.413,31969.544
71805.148,31960.992	71785.403,31969.259
76805.148,31960.992	76784.764,31968.923
81805.148,31960.992	81783.676,31969.265
86805.148,31960.992	86784.269,31969.819
91805.148,31960.992	91783.547,31971.062
96805.148,31960.992	96784.088,31972.202
101805.148,31960.992	101783.387,31973.664
106805.148,31960.992	106783.638,31975.311
111805.148,31960.992	111783.415,31977.921
116805.148,31960.992	116784.773,31979.375
121805.148,31960.992	121784.979,31980.700
126805.148,31960.992	126786.073,31981.651
131805.148,31960.992	131785.733,31981.909
136805.148,31960.992	136787.071,31982.838
141805.148,31960.992	141785.725,31984.124
146805.148,31960.992	146788.172,31985.187
151805.148,31960.992	151787.198,31986.314
156805.148,31960.992	156787.279,31987.559
161805.148,31960.992	161785.760,31988.013
166805.148,31960.992	166785.950,31989.628
171805.148,31960.992	171784.576,31991.977
26805.148,36960.992	26790.731,36963.775
31805.148,36960.992	31792.995,36963.959
36805.148,36960.992	36791.930,36964.301
41805.148,36960.992	41790.257,36964.572
46805.148,36960.992	46788.890,36965.723
51805.148,36960.992	51787.400,36967.351
56805.148,36960.992	56787.235,36969.058
61805.148,36960.992	61786.293,36970.761
66805.148,36960.992	66785.273,36971.078
71805.148,36960.992	71783.803,36970.328
76805.148,36960.992	76783.077,36970.000
81805.148,36960.992	81782.283,36970.418
86805.148,36960.992	86782.494,36971.320
91805.148,36960.992	91782.137,36972.862
96805.148,36960.992	96782.042,36973.659
101805.148,36960.992	101780.990,36974.837
106805.148,36960.992	106782.068,36976.956
111805.148,36960.992	111782.029,36978.997
116805.148,36960.992	116783.095,36980.318
121805.148,36960.992	121783.511,36981.670
126805.148,36960.992	126784.481,36982.602
131805.148,36960.992	131784.219,36983.113
136805.148,36960.992	136785.252,36984.110
141805.148,36960.992	141784.757,36985.394
146805.148,36960.992	146786.072,36986.400
151805.148,36960.992	151784.910,36987.847
156805.148,36960.992	156785.445,36988.856
161805.148,36960.992	161783.903,36989.629
166805.148,36960.992	166785.295,36991.064
171805.148,36960.992	171783.675,36993.273
26805.148,41960.992	26789.533,41961.768
31805.148,41960.992	31791.159,41962.903
36805.148,41960.992	36790.224,41963.385
41805.148,41960.992	41788.460,41963.568
46805.148,41960.992	46787.725,41964.645
51805.148,41960.992	51786.081,41966.397
56805.148,41960.992	56785.397,41967.835
61805.148,41960.992	61784.629,41969.320
66805.148,41960.992	66784.332,41969.652
71805.148,41960.992	71782.553,41969.324
76805.148,41960.992	76781.709,41968.979
81805.148,41960.992	81780.728,41969.423
86805.148,41960.992	86780.899,41969.774
91805.148,41960.992	91780.248,41971.120
96805.148,41960.992	96780.385,41971.962
101805.148,41960.992	101779.713,41973.236
106805.148,41960.992	106780.226,41975.197
111805.148,41960.992	111780.173,41977.740
116805.148,41960.992	116781.656,41979.139
121805.148,41960.992	121782.160,41980.674
126805.148,41960.992	126783.333,41981.421
131805.148,41960.992	131782.408,41982.076
136805.148,41960.992	136783.299,41982.730
141805.148,41960.992	141783.225,41983.805
146805.148,41960.992	146784.569,41984.999
151805.148,41960.992	151783.186,41986.222
156805.148,41960.992	156784.114,41987.272
161805.148,41960.992	161782.028,41988.426
166805.148,41960.992	166783.239,41989.539
171805.148,41960.992	171782.031,41992.087
26805.148,46960.992	26788.138,46963.929
31805.148,46960.992	31790.224,46964.329
36805.148,46960.992	36789.047,46964.611
41805.148,46960.992	41787.064,46964.762
46805.148,46960.992	46785.783,46965.747
51805.148,46960.992	51784.113,46967.354
56805.148,46960.992	56783.569,46969.058
61805.148,46960.992	61782.187,46970.373
66805.148,46960.992	66781.753,46971.170
71805.148,46960.992	71780.792,46970.564
76805.148,46960.992	76780.512,46970.137
81805.148,46960.992	81779.197,46970.578
86805.148,46960.992	86779.151,46971.435
91805.148,46960.992	91778.655,46972.847
96805.148,46960.992	96778.804,46974.040
101805.148,46960.992	101778.080,46975.252
106805.148,46960.992	106778.325,46976.995
111805.148,46960.992	111778.458,46978.929
116805.148,46960.992	116779.656,46980.550
121805.148,46960.992	121780.591,46981.723
126805.148,46960.992	126781.506,46982.351
131805.148,46960.992	131781.009,46983.109
136805.148,46960.992	136781.751,46983.880
141805.148,46960.992	141780.918,46985.229
146805.148,46960.992	146782.185,46986.413
151805.148,46960.992	151781.951,46987.628
156805.148,46960.992	156782.605,46988.657
161805.148,46960.992	161780.113,46989.882
166805.148,46960.992	166781.646,46991.411
171805.148,46960.992	171780.640,46993.203
26805.148,51960.992	26786.178,51962.870
31805.148,51960.992	31788.058,51963.258
36805.148,51960.992	36787.483,51963.250
