Date/Time,FlowmeterNum,ProductNum,Weight(g),Valve1 Weight(g),Valve2 Weight(g),Valve3 Weight(g),Valve4 Weight(g),SN
2025/3/24 20:42:51,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 20:45:44,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 20:52:24,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 20:52:55,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 20:53:23,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 20:53:38,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 20:53:51,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 20:54:08,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 20:54:46,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 20:55:43,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 20:55:58,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 20:56:14,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 21:05:48,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 21:07:04,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 21:09:56,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 21:13:09,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 21:14:35,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 21:17:36,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 21:18:17,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 21:20:38,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 21:31:07,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 21:31:59,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 21:34:15,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 21:36:22,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 21:47:28,1,1,0.000,0.000,0.000,0.000,0.000,
2025/3/24 21:49:09,1,1,0.000,0.000,0.000,0.000,0.000,
